8301048:"SCM                                                       4(6x385g)":"385g":14.08:84.47:337.9:35141.184:6:24:104:2496:416:9.24:"Canned Milks":"r 296.40":12.35:::"4(6x385g)"
8301080:"GOLDCROSS Sweetnd Cond Milk         4(6x385g)":"385g":14.079:84.474:337.9:35141.184:6:24:104:2496:416:9.24:"Canned Milks":"r 296.40":12.35:::"4(6x385g)"
8301118:"IDEAL Evaporated Milk                           4(6x380g)":"380g":16.701:100.206:400.82:35272.512:6:24:88:2112:352:9.12:"Canned Milks":"r 351.60":14.65:::"4(6x380g)"
8301119:"IDEAL Low fat Evap Milk                         4(6x380g)":"380g":16.701:100.206:400.82:35272.512:6:24:88:2112:352:9.12:"Canned Milks":"r 351.60":14.65:::"4(6x380g)"
8301051:"TREAT Caramel                                     4(6x360g)":"360g":16.701:100.206:400.82:41685.696:6:24:104:2496:416:8.64:"Canned Milks":"r 351.60":14.65:::"4(6x360g)"
8301219:"Dessert Cream                                       4(6x290g)":"290g":16.188:97.128:388.51:40405.248:6:24:104:2496:416:6.96:"Canned Milks":"r 340.80":14.2:::"4(6x290g)"
8301300:"Dessert Cream                                       4(6x155g)":"155g":10.089:60.534:242.14:50364.288:6:24:208:4992:832:3.72:"Canned Milks":"r 212.40":8.85:::"4(6x155g)"
12160794:"Caramel Sauce                                       4(6x340g)":"340g":16.701:100.206:400.82:39280.752:6:24:98:2352:392:8.16:"Canned Milks":"r 351.60":14.65:::"4(6x340g)"
12188331:"IDEAL Milk Coconut Flavor                    4(6x300g)":"300g":16.701:100.206:400.82:35272.512:6:24:88:2112:352:7.2:"Canned Milks":"r 351.60":14.65:::"4(6x300g)"
12189336:"IDEAL Milk Cord & Chilli                         4(6x300g)":"300g":16.701:100.206:400.82:35272.512:6:24:88:2112:352:7.2:"Canned Milks":"r 351.60":14.65:::"4(6x300g)ZA"
12189337:"IDEALMilk Mushroom & Garlic                4(6x300g)":"300g":16.701:100.206:400.82:35272.512:6:24:88:2112:352:7.2:"Canned Milks":"r 351.60":14.65:::"4(6x300g)"
8301411:"NESPRAY                                              2(6x250g)":"250g":26.9:161.4:322.8:33571.2:6:12:104:1248:208:3:"Powdered Milks":"r 322.80":26.9:::"2(6x250g)"
8301431:"NESPRAY                                              2(6x400g)":"400g":39.65:237.9:475.8:30451.2:6:12:64:768:128:4.8:"Powdered Milks":"r 475.80":39.65:::"2(6x400g)"
8301432:"NESPRAY                                                (6x900g)":"900g":89.2:535.2:535.2:32112:6:6:60:360:60:5.4:"Powdered Milks":"r 535.20":89.2:::"6x900g"
8301433:"NESPRAY                                               (6x1.8kg)":"1.8kg":169.65:1017.9:1017.9:35626.5:6:6:35:210:35:10.8:"Powdered Milks":"r 1,017.90":169.65:::"6x1.8kg"
12074672:"NESPRAY  Sachet                                 (24x250g)":"250g":23.65:567.6:567.6:31785.6:24:24:56:1344:56:6:"Powdered Milks":"r 567.60":23.65:::"24x250g"
8301409:"NESPRAY  Sachet                                  12x500g)":"500g":37.95:455.4:455.4:27324:12:12:60:720:60:6:"Powdered Milks":"r 455.40":37.95:::"12x500g"
8309957:"KLIM                                                       2(6x250g)":"250g":30.666:183.996:367.99:38271.168:6:12:104:1248:208:3:"Powdered Milks":"r 322.80":26.9:::"2(6x250g)"
